Hardware,Tech,Device,Direction,Test_No,Speed (Mbps),Device,Connection,Location
Old – Arris,Arris Router,Downstairs Lap,Down,1,70.71,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Down,2,74.35,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Down,3,53.08,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Down,4,62.05,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Down,5,48.41,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Up,1,11.24,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Up,2,11.27,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Up,3,10.7,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Up,4,11.29,Laptop,Old,Downstairs
Old – Arris,Arris Router,Downstairs Lap,Up,5,11.25,Laptop,Old,Downstairs
Old – Arris,Arris Router,Upstairs Lap,Down,1,28.45,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Down,2,4.57,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Down,3,23.92,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Down,4,28.83,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Down,5,30.05,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Up,1,11.09,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Up,2,10.84,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Up,3,10.54,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Up,4,10.97,Laptop,Old,Upstairs
Old – Arris,Arris Router,Upstairs Lap,Up,5,9.27,Laptop,Old,Upstairs
Old – Arris,Arris Router,HW-Desktop,Down,1,59.6,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Down,2,61.4,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Down,3,92.34,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Down,4,90.7,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Down,5,91.45,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Up,1,11.02,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Up,2,10.7,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Up,3,11.19,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Up,4,11,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,HW-Desktop,Up,5,11.19,Desktop,Old-HW,Desktop
Old – Arris,Arris Router,Phone,Down,1,79.9,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Down,2,81,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Down,3,67.5,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Down,4,59.7,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Down,5,71.4,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Up,1,10.8,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Up,2,11.1,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Up,3,10.7,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Up,4,11.5,Phone,Old,Downstairs
Old – Arris,Arris Router,Phone,Up,5,11.1,Phone,Old,Downstairs
New – Netgear,5G,Downstairs Lap,Down,1,110.11,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Down,2,113.4,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Down,3,108.9,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Down,4,113.9,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Down,5,115.24,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Up,1,11.49,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Up,2,11.47,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Up,3,9.5,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Up,4,11.46,Phone,5G,Downstairs
New – Netgear,5G,Downstairs Lap,Up,5,9,Phone,5G,Downstairs
New – Netgear,5G,Upstairs Lap,Down,1,80.24,Phone,5G,Upstairs
New – Netgear,5G,Upstairs Lap,Down,2,115,Phone,5G,Upstairs
